Participant_ID,L1_L2,area,time_period,channel,stress,match,amplitude
stress10,L2,F0,136_280,P3,stressed,mismatch,-2.892226
stress10,L2,F0,136_280,P3,stressed,match,0.300516
stress10,L2,F0,136_280,P3,unstressed,mismatch,-3.335999
stress10,L2,F0,136_280,P3,unstressed,match,-0.149831
stress10,L2,F0,136_280,P7,stressed,mismatch,-0.491446
stress10,L2,F0,136_280,P7,stressed,match,1.753962
stress10,L2,F0,136_280,P7,unstressed,mismatch,-3.014455
stress10,L2,F0,136_280,P7,unstressed,match,2.57097
stress10,L2,F0,136_280,O1,stressed,mismatch,-0.530697
stress10,L2,F0,136_280,O1,stressed,match,3.461177
stress10,L2,F0,136_280,O1,unstressed,mismatch,-3.831795
stress10,L2,F0,136_280,O1,unstressed,match,0.60939
stress10,L2,F0,136_280,Oz,stressed,mismatch,0.423808
stress10,L2,F0,136_280,Oz,stressed,match,3.499182
stress10,L2,F0,136_280,Oz,unstressed,mismatch,-3.267775
stress10,L2,F0,136_280,Oz,unstressed,match,0.320328
stress10,L2,F0,136_280,O2,stressed,mismatch,-0.101987
stress10,L2,F0,136_280,O2,stressed,match,2.456464
stress10,L2,F0,136_280,O2,unstressed,mismatch,-2.145365
stress10,L2,F0,136_280,O2,unstressed,match,-0.433877
stress10,L2,F0,136_280,P4,stressed,mismatch,-3.683037
stress10,L2,F0,136_280,P4,stressed,match,0.779415
stress10,L2,F0,136_280,P4,unstressed,mismatch,-2.374774
stress10,L2,F0,136_280,P4,unstressed,match,-2.824697
stress10,L2,F0,136_280,P8,stressed,mismatch,-0.739074
stress10,L2,F0,136_280,P8,stressed,match,1.038244
stress10,L2,F0,136_280,P8,unstressed,mismatch,0.220489
stress10,L2,F0,136_280,P8,unstressed,match,-0.854707
stress10,L2,F0,136_280,TP10,stressed,mismatch,3.85493
stress10,L2,F0,136_280,TP10,stressed,match,6.60658
stress10,L2,F0,136_280,TP10,unstressed,mismatch,4.469857
stress10,L2,F0,136_280,TP10,unstressed,match,4.166006
stress10,L2,F0,136_280,CP6,stressed,mismatch,-3.687119
stress10,L2,F0,136_280,CP6,stressed,match,-0.442271
stress10,L2,F0,136_280,CP6,unstressed,mismatch,-0.713279
stress10,L2,F0,136_280,CP6,unstressed,match,-2.618547
stress10,L2,F0,136_280,CP2,stressed,mismatch,-3.164799
stress10,L2,F0,136_280,CP2,stressed,match,-1.834448
stress10,L2,F0,136_280,CP2,unstressed,mismatch,-2.204127
stress10,L2,F0,136_280,CP2,unstressed,match,-1.389353
stress10,L2,F0,136_280,Cz,stressed,mismatch,-4.063487
stress10,L2,F0,136_280,Cz,stressed,match,-2.60194
stress10,L2,F0,136_280,Cz,unstressed,mismatch,-2.333925
stress10,L2,F0,136_280,Cz,unstressed,match,-2.299681
stress10,L2,F0,136_280,C4,stressed,mismatch,-4.329318
stress10,L2,F0,136_280,C4,stressed,match,-2.274839
stress10,L2,F0,136_280,C4,unstressed,mismatch,-0.196706
stress10,L2,F0,136_280,C4,unstressed,match,-3.052698
stress10,L2,F0,136_280,T8,stressed,mismatch,-2.830117
stress10,L2,F0,136_280,T8,stressed,match,-0.369745
stress10,L2,F0,136_280,T8,unstressed,mismatch,2.70142
stress10,L2,F0,136_280,T8,unstressed,match,-3.55369
stress10,L2,F0,136_280,FT10,stressed,mismatch,-1.017761
stress10,L2,F0,136_280,FT10,stressed,match,1.228933
stress10,L2,F0,136_280,FT10,unstressed,mismatch,5.128199
stress10,L2,F0,136_280,FT10,unstressed,match,-5.393313
stress10,L2,F0,136_280,FC6,stressed,mismatch,-4.215033
stress10,L2,F0,136_280,FC6,stressed,match,-0.439677
stress10,L2,F0,136_280,FC6,unstressed,mismatch,3.072529
stress10,L2,F0,136_280,FC6,unstressed,match,-6.146574
stress10,L2,F0,136_280,FC2,stressed,mismatch,-4.263991
stress10,L2,F0,136_280,FC2,stressed,match,-4.267815
stress10,L2,F0,136_280,FC2,unstressed,mismatch,-0.7965
stress10,L2,F0,136_280,FC2,unstressed,match,-3.508456
stress10,L2,F0,136_280,F4,stressed,mismatch,-4.494522
stress10,L2,F0,136_280,F4,stressed,match,-4.035636
stress10,L2,F0,136_280,F4,unstressed,mismatch,1.599834
