Participant_ID,L1_L2,area,time_period,channel,stress,match,amplitude
stress1,L2,suffix,235_415,CP5,stressed,mismatch,0.986595
stress1,L2,suffix,235_415,CP5,stressed,match,-2.325949
stress1,L2,suffix,235_415,CP5,unstressed,mismatch,2.740427
stress1,L2,suffix,235_415,CP5,unstressed,match,0.352376
stress1,L2,suffix,235_415,CP1,stressed,mismatch,2.016271
stress1,L2,suffix,235_415,CP1,stressed,match,-2.89387
stress1,L2,suffix,235_415,CP1,unstressed,mismatch,1.236918
stress1,L2,suffix,235_415,CP1,unstressed,match,-0.90962
stress1,L2,suffix,235_415,Pz,stressed,mismatch,0.377274
stress1,L2,suffix,235_415,Pz,stressed,match,-2.350343
stress1,L2,suffix,235_415,Pz,unstressed,mismatch,1.951274
stress1,L2,suffix,235_415,Pz,unstressed,match,-2.759816
stress1,L2,suffix,235_415,P3,stressed,mismatch,2.28724
stress1,L2,suffix,235_415,P3,stressed,match,-3.647567
stress1,L2,suffix,235_415,P3,unstressed,mismatch,3.082858
stress1,L2,suffix,235_415,P3,unstressed,match,-1.278968
stress1,L2,suffix,235_415,P7,stressed,mismatch,-0.455137
stress1,L2,suffix,235_415,P7,stressed,match,-3.96654
stress1,L2,suffix,235_415,P7,unstressed,mismatch,1.421152
stress1,L2,suffix,235_415,P7,unstressed,match,0.503492
stress1,L2,suffix,235_415,O1,stressed,mismatch,-1.237513
stress1,L2,suffix,235_415,O1,stressed,match,-1.230179
stress1,L2,suffix,235_415,O1,unstressed,mismatch,1.732452
stress1,L2,suffix,235_415,O1,unstressed,match,-0.159112
stress1,L2,suffix,235_415,Oz,stressed,mismatch,-0.754696
stress1,L2,suffix,235_415,Oz,stressed,match,-0.983839
stress1,L2,suffix,235_415,Oz,unstressed,mismatch,2.393866
stress1,L2,suffix,235_415,Oz,unstressed,match,-0.967048
stress1,L2,suffix,235_415,O2,stressed,mismatch,-0.920914
stress1,L2,suffix,235_415,O2,stressed,match,-1.589242
stress1,L2,suffix,235_415,O2,unstressed,mismatch,0.800377
stress1,L2,suffix,235_415,O2,unstressed,match,-1.204223
stress1,L2,suffix,235_415,P4,stressed,mismatch,-1.817084
stress1,L2,suffix,235_415,P4,stressed,match,-2.10555
stress1,L2,suffix,235_415,P4,unstressed,mismatch,-0.221807
stress1,L2,suffix,235_415,P4,unstressed,match,-1.460588
stress1,L2,suffix,235_415,P8,stressed,mismatch,-2.815766
stress1,L2,suffix,235_415,P8,stressed,match,-2.271342
stress1,L2,suffix,235_415,P8,unstressed,mismatch,0.893592
stress1,L2,suffix,235_415,P8,unstressed,match,-1.613862
stress1,L2,suffix,235_415,TP10,stressed,mismatch,-6.463187
stress1,L2,suffix,235_415,TP10,stressed,match,1.911714
stress1,L2,suffix,235_415,TP10,unstressed,mismatch,-1.662066
stress1,L2,suffix,235_415,TP10,unstressed,match,-0.188498
stress1,L2,suffix,235_415,CP6,stressed,mismatch,-1.489508
stress1,L2,suffix,235_415,CP6,stressed,match,-0.955778
stress1,L2,suffix,235_415,CP6,unstressed,mismatch,-1.613924
stress1,L2,suffix,235_415,CP6,unstressed,match,-1.134737
stress1,L2,suffix,235_415,CP2,stressed,mismatch,-0.03322
stress1,L2,suffix,235_415,CP2,stressed,match,-1.993661
stress1,L2,suffix,235_415,CP2,unstressed,mismatch,-0.982256
stress1,L2,suffix,235_415,CP2,unstressed,match,-1.202652
stress1,L2,suffix,235_415,Cz,stressed,mismatch,2.1158960000000002
stress1,L2,suffix,235_415,Cz,stressed,match,-2.828046
stress1,L2,suffix,235_415,Cz,unstressed,mismatch,-0.150673
stress1,L2,suffix,235_415,Cz,unstressed,match,0.3876
stress1,L2,suffix,235_415,C4,stressed,mismatch,2.419882
stress1,L2,suffix,235_415,C4,stressed,match,-1.203415
stress1,L2,suffix,235_415,C4,unstressed,mismatch,-1.533558
stress1,L2,suffix,235_415,C4,unstressed,match,-1.776328
stress1,L2,suffix,235_415,T8,stressed,mismatch,-2.815426
stress1,L2,suffix,235_415,T8,stressed,match,0.811376
stress1,L2,suffix,235_415,T8,unstressed,mismatch,-0.763282
stress1,L2,suffix,235_415,T8,unstressed,match,-0.990929
stress1,L2,suffix,235_415,FT10,stressed,mismatch,-4.341923
stress1,L2,suffix,235_415,FT10,stressed,match,2.326951
stress1,L2,suffix,235_415,FT10,unstressed,mismatch,-1.958672
stress1,L2,suffix,235_415,FT10,unstressed,match,0.720138
stress1,L2,suffix,235_415,FC6,stressed,mismatch,-0.05675
stress1,L2,suffix,235_415,FC6,stressed,match,1.495348
stress1,L2,suffix,235_415,FC6,unstressed,mismatch,-0.945398
stress1,L2,suffix,235_415,FC6,unstressed,match,-0.243559
stress1,L2,suffix,235_415,FC2,stressed,mismatch,2.367261
stress1,L2,suffix,235_415,FC2,stressed,match,-0.776199
stress1,L2,suffix,235_415,FC2,unstressed,mismatch,-0.281968
stress1,L2,suffix,235_415,FC2,unstressed,match,1.334627
stress1,L2,suffix,235_415,F4,stressed,mismatch,2.093329
stress1,L2,suffix,235_415,F4,stressed,match,0.356595
stress1,L2,suffix,235_415,F4,unstressed,mismatch,0.489239
stress1,L2,suffix,235_415,F4,unstressed,match,0.055584
